run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start,record_origin,source_experiment_id,source_run_id,source_timestamp,source_elapsed_time,source_hover_elapsed_time,source_node_elapsed_time,interpolation_method,interpolation_gap_index,interpolation_fraction
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:06.611,0.216,0.216,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.611,0.215,0.215,0.215,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:06.716,0.321,0.321,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.716,0.32,0.32,0.32,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:06.820,0.425,0.425,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.820,0.424,0.424,0.424,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:06.926,0.531,0.531,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:06.926,0.53,0.53,0.53,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:07.031,0.636,0.636,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.031,0.635,0.635,0.635,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:07.137,0.742,0.742,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.137,0.742,0.742,0.742,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:07.137,0.742,0.742,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.137,0.742,0.742,0.742,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:07.137,0.742,0.742,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.137,0.742,0.742,0.742,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:07.137,0.742,0.742,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.137,0.742,0.742,0.742,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:07.137,0.742,0.742,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.137,0.742,0.742,0.742,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:07.244,0.849,0.849,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.244,0.849,0.849,0.849,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:07.244,0.849,0.849,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.244,0.849,0.849,0.849,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:07.244,0.849,0.849,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.244,0.849,0.849,0.849,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:07.244,0.849,0.849,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.244,0.849,0.849,0.849,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:07.244,0.849,0.849,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.244,0.849,0.849,0.849,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:07.352,0.957,0.957,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.352,0.957,0.957,0.957,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:07.352,0.957,0.957,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.352,0.957,0.957,0.957,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:07.352,0.957,0.957,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.352,0.957,0.957,0.957,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:07.352,0.957,0.957,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.352,0.957,0.957,0.957,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:07.352,0.957,0.957,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.352,0.957,0.957,0.957,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:07.456,1.061,1.061,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.456,1.061,1.061,1.061,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:07.456,1.061,1.061,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.456,1.061,1.061,1.061,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:07.456,1.061,1.061,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.456,1.061,1.061,1.061,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:07.456,1.061,1.061,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.456,1.061,1.061,1.061,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:07.456,1.061,1.061,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.456,1.061,1.061,1.061,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:07.563,1.168,1.168,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.563,1.168,1.168,1.168,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:07.563,1.168,1.168,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.563,1.168,1.168,1.168,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:07.563,1.168,1.168,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.563,1.168,1.168,1.168,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:07.563,1.168,1.168,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.563,1.168,1.168,1.168,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:07.563,1.168,1.168,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.563,1.168,1.168,1.168,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:07.666,1.271,1.271,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.666,1.271,1.271,1.271,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:07.666,1.271,1.271,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.666,1.271,1.271,1.271,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:07.666,1.271,1.271,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.666,1.271,1.271,1.271,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:07.666,1.271,1.271,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.666,1.271,1.271,1.271,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,1,wind_tunnel_takeoff,2026-08-29T21:12:07.666,1.271,1.271,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.666,1.271,1.271,1.271,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,5,wind_tunnel_takeoff,2026-08-29T21:12:07.770,1.375,1.375,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.770,1.375,1.375,1.375,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,6,wind_tunnel_takeoff,2026-08-29T21:12:07.770,1.375,1.375,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.770,1.375,1.375,1.375,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,7,wind_tunnel_takeoff,2026-08-29T21:12:07.770,1.375,1.375,95,96,1,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.770,1.375,1.375,1.375,,,
20260829_211154_merged_002_005,wind_tunnel_front_50_head_lv2_002,front,head wind,Level2,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,8,wind_tunnel_takeoff,2026-08-29T21:12:07.770,1.375,1.375,100,100,0,observed,wind_tunnel_front_50_head_lv2_002,20260829_211154,2026-08-29T21:12:07.770,1.375,1.375,1.375,,,
