run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,2,6,node_segment_1_of_4,2026-06-20T22:52:10.946,20.541,0.0,73,73,0
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,2,6,node_segment_1_of_4,2026-06-20T22:52:10.946,20.541,0.0,73,73,0
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,3,7,node_segment_1_of_4,2026-06-20T22:52:10.946,20.541,0.0,72,72,0
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,8,node_segment_1_of_4,2026-06-20T22:52:10.946,20.541,0.0,73,73,0
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,4,8,node_segment_1_of_4,2026-06-20T22:52:10.946,20.541,0.0,74,74,0
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_1,192.168.0.102,B11,1,diamond_1,2,6,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,73,73,0
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_2,192.168.0.109,B10,2,diamond_2,2,6,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,73,73,0
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_3,192.168.0.103,B13,3,diamond_3,3,7,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,72,72,0
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_4,192.168.0.106,B14,4,diamond_4,4,8,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,73,73,0
20260620_225150,diamond_75_side_lv1_new_001,diamond,side wind,Level1,75,drone_5,192.168.0.107,B12,5,diamond_5,4,8,node_segment_1_of_4,2026-06-20T22:52:11.054,20.649,0.108,74,74,0
