run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,1,node_segment_1_of_5,2026-06-05T18:54:30.197,18.236,0.0,69,69,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,2,node_segment_1_of_5,2026-06-05T18:54:30.197,18.236,0.0,68,68,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_3,192.168.0.103,B13,3,front_3,8,3,node_segment_1_of_5,2026-06-05T18:54:30.197,18.236,0.0,67,67,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_4,192.168.0.106,B14,4,front_4,1,4,node_segment_1_of_5,2026-06-05T18:54:30.197,18.236,0.0,70,70,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_5,192.168.0.107,B15,5,front_5,2,5,node_segment_1_of_5,2026-06-05T18:54:30.197,18.236,0.0,59,59,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,1,node_segment_1_of_5,2026-06-05T18:54:30.308,18.347,0.11,69,69,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,2,node_segment_1_of_5,2026-06-05T18:54:30.308,18.347,0.11,68,68,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_3,192.168.0.103,B13,3,front_3,8,3,node_segment_1_of_5,2026-06-05T18:54:30.308,18.347,0.11,67,67,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_4,192.168.0.106,B14,4,front_4,1,4,node_segment_1_of_5,2026-06-05T18:54:30.308,18.347,0.11,70,70,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_5,192.168.0.107,B15,5,front_5,2,5,node_segment_1_of_5,2026-06-05T18:54:30.308,18.347,0.11,59,59,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,1,node_segment_1_of_5,2026-06-05T18:54:30.417,18.455,0.219,69,69,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,2,node_segment_1_of_5,2026-06-05T18:54:30.417,18.455,0.219,68,68,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_3,192.168.0.103,B13,3,front_3,8,3,node_segment_1_of_5,2026-06-05T18:54:30.417,18.455,0.219,67,67,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_4,192.168.0.106,B14,4,front_4,1,4,node_segment_1_of_5,2026-06-05T18:54:30.417,18.455,0.219,70,70,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_5,192.168.0.107,B15,5,front_5,2,5,node_segment_1_of_5,2026-06-05T18:54:30.417,18.455,0.219,59,59,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_1,192.168.0.101,B11,1,front_1,6,1,node_segment_1_of_5,2026-06-05T18:54:30.524,18.563,0.327,69,69,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_2,192.168.0.109,B10,2,front_2,7,2,node_segment_1_of_5,2026-06-05T18:54:30.524,18.563,0.327,68,68,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_3,192.168.0.103,B13,3,front_3,8,3,node_segment_1_of_5,2026-06-05T18:54:30.524,18.563,0.327,67,67,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_4,192.168.0.106,B14,4,front_4,1,4,node_segment_1_of_5,2026-06-05T18:54:30.524,18.563,0.327,70,70,0
20260605_185411,front_75_head_lv1_new_002,front,head wind,Level1,75,drone_5,192.168.0.107,B15,5,front_5,2,5,node_segment_1_of_5,2026-06-05T18:54:30.524,18.563,0.327,59,59,0
