run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T18:07:58.565,0.211,0.211,0.211,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,47,47,,-4,1,0,0,0,0,22.0,-11.0,-1004.0,65,67,10,0,-104.03,213
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-29T18:07:58.565,0.211,0.211,0.211,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,46,46,,42,0,1,0,0,0,0.0,-20.0,-999.0,65,69,6553,0,-105.19,201
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T18:07:58.670,0.316,0.316,0.316,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,49,49,,0,0,0,0,0,0,3.0,-20.0,-999.0,70,71,6553,0,-105.33,0
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T18:07:58.670,0.316,0.316,0.316,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,33,33,,-5,0,0,0,0,0,11.0,5.0,-999.0,67,71,10,0,-104.32,45
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T18:07:58.670,0.316,0.316,0.316,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,35,35,,73,0,0,0,0,0,-9.0,8.0,-1001.0,70,73,10,0,-104.43,204
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T18:07:58.670,0.316,0.316,0.316,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,47,47,,-4,1,0,0,0,0,25.0,1.0,-998.0,65,67,10,0,-104.03,213
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-29T18:07:58.670,0.316,0.316,0.316,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,46,46,,42,0,1,0,0,0,2.0,-14.0,-995.0,65,68,6553,0,-105.19,201
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T18:07:58.778,0.424,0.424,0.424,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,49,49,,0,0,0,0,0,0,45.0,-4.0,-990.0,70,72,6553,0,-105.33,0
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T18:07:58.778,0.424,0.424,0.424,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,33,33,,-5,0,0,0,0,0,8.0,0.0,-986.0,68,70,10,0,-104.32,46
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T18:07:58.778,0.424,0.424,0.424,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,35,35,,73,0,0,0,0,0,-2.0,10.0,-999.0,70,73,10,0,-104.43,204
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T18:07:58.778,0.424,0.424,0.424,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,47,47,,-4,1,0,0,0,0,16.0,-11.0,-1000.0,65,67,10,0,-104.03,213
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-29T18:07:58.778,0.424,0.424,0.424,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,46,46,,42,0,1,0,0,0,0.0,-25.0,-997.0,65,68,6553,0,-105.19,201
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T18:07:58.884,0.53,0.53,0.53,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,49,49,,0,0,0,0,0,0,-18.0,-17.0,-984.0,70,72,6553,0,-105.33,0
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T18:07:58.884,0.53,0.53,0.53,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,33,33,,-5,0,0,0,0,0,-10.0,5.0,-994.0,68,70,10,0,-104.32,46
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T18:07:58.884,0.53,0.53,0.53,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,35,35,,73,0,0,0,0,0,-21.0,10.0,-998.0,71,72,10,0,-104.43,204
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T18:07:58.884,0.53,0.53,0.53,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,47,47,,-4,1,0,0,0,0,25.0,-12.0,-973.0,65,67,10,0,-104.03,213
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-08-29T18:07:58.884,0.53,0.53,0.53,-1,-100,-100,-100,,,,200,0,80,1,0,0,,,,,,,46,46,,42,0,1,0,0,0,15.0,-39.0,-981.0,65,68,6553,0,-105.19,202
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-08-29T18:07:58.988,0.634,0.634,0.634,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,49,49,,1,0,0,0,0,0,-31.0,9.0,-1023.0,70,72,6553,0,-105.33,0
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-08-29T18:07:58.988,0.634,0.634,0.634,-1,-100,-100,-100,,,,50,0,80,6,0,0,,,,,,,33,33,,-3,0,0,0,0,0,-26.0,-2.0,-1031.0,68,70,10,0,-104.32,46
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-08-29T18:07:58.988,0.634,0.634,0.634,-1,-100,-100,-100,,,,100,0,80,7,0,0,,,,,,,35,35,,73,0,0,0,0,0,-23.0,31.0,-1001.0,71,72,10,0,-104.43,205
20260829_180754,wind_tunnel_prepare_windtunnel_head3,front,head wind,Level1,50,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-08-29T18:07:58.988,0.634,0.634,0.634,-1,-100,-100,-100,,,,150,0,80,8,0,0,,,,,,,47,47,,-4,1,0,0,0,0,-50.0,23.0,-1092.0,65,67,10,0,-104.03,213
