run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-05-25T17:40:36.225,15.543,0.0,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,2,node_segment_1_of_5,2026-05-25T17:40:36.225,15.543,0.0,53,53,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-05-25T17:40:36.225,15.543,0.0,60,60,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_4,192.168.0.106,B14,4,vee_4,5,2,node_segment_1_of_5,2026-05-25T17:40:36.225,15.543,0.0,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,8,node_segment_1_of_5,2026-05-25T17:40:36.225,15.543,0.0,55,55,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-05-25T17:40:36.331,15.649,0.107,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,2,node_segment_1_of_5,2026-05-25T17:40:36.331,15.649,0.107,53,53,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-05-25T17:40:36.331,15.649,0.107,60,60,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_4,192.168.0.106,B14,4,vee_4,5,2,node_segment_1_of_5,2026-05-25T17:40:36.331,15.649,0.107,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,8,node_segment_1_of_5,2026-05-25T17:40:36.331,15.649,0.107,55,55,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-05-25T17:40:36.437,15.755,0.212,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,2,node_segment_1_of_5,2026-05-25T17:40:36.437,15.755,0.212,53,53,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-05-25T17:40:36.437,15.755,0.212,60,60,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_4,192.168.0.106,B14,4,vee_4,5,2,node_segment_1_of_5,2026-05-25T17:40:36.437,15.755,0.212,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,8,node_segment_1_of_5,2026-05-25T17:40:36.437,15.755,0.212,55,55,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-05-25T17:40:36.545,15.863,0.32,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,2,node_segment_1_of_5,2026-05-25T17:40:36.545,15.863,0.32,53,53,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-05-25T17:40:36.545,15.863,0.32,60,60,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_4,192.168.0.106,B14,4,vee_4,5,2,node_segment_1_of_5,2026-05-25T17:40:36.545,15.863,0.32,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,8,node_segment_1_of_5,2026-05-25T17:40:36.545,15.863,0.32,55,55,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_1,192.168.0.101,B11,1,vee_1,1,6,node_segment_1_of_5,2026-05-25T17:40:36.648,15.966,0.423,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_2,192.168.0.109,B10,2,vee_2,5,2,node_segment_1_of_5,2026-05-25T17:40:36.648,15.966,0.423,53,53,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-05-25T17:40:36.648,15.966,0.423,60,60,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_4,192.168.0.106,B14,4,vee_4,5,2,node_segment_1_of_5,2026-05-25T17:40:36.648,15.966,0.423,56,56,0
20260525_174020,vee_50_head_lv1_new_004,vee,head wind,Level1,drone_5,192.168.0.107,B15,5,vee_5,1,8,node_segment_1_of_5,2026-05-25T17:40:36.648,15.966,0.423,55,55,0
