run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,soc_mode,target_soc_percent,soc_tolerance_percent,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,grid_column,grid_row,phase,timestamp,elapsed_time,hover_elapsed_time,node_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,target_x,target_y,target_z,target_pad,node_forward_distance_cm,node_speed_cm_s,position_error_x,position_error_y,position_error_z,position_error_dist,mean_spacing_error,max_spacing_error,battery,battery_hover_start,battery_hover_end,yaw,pitch,roll,mission_pad_pitch,mission_pad_roll,mission_pad_yaw,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-04T23:05:26.954,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,80,80,,-2,0,0,0.0,0.0,0.0,0,0,0,1.0,1.0,-1002.0,64,67,10,0,-11.51,151
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-04T23:05:26.954,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,75,80,6,0,0,,,,,,,81,81,,9,0,0,0.0,0.0,0.0,0,0,0,3.0,4.0,-1000.0,64,67,6553,0,-10.5,147
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-04T23:05:26.954,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,150,80,7,0,0,,,,,,,73,73,,0,0,0,0.0,0.0,0.0,0,0,0,9.0,-1.0,-1000.0,66,69,10,0,-10.59,158
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-04T23:05:26.954,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,225,80,8,0,0,,,,,,,72,72,,-1,0,1,0.0,0.0,0.0,0,0,0,12.0,-27.0,-999.0,62,64,10,0,-10.18,168
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-04T23:05:26.954,0.0,0.0,0.0,-1,-100,-100,-100,,,,0,300,80,1,0,0,,,,,,,69,69,,16,0,0,0.0,0.0,0.0,0,0,0,8.0,-9.0,-999.0,62,65,10,0,-11.33,74
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-04T23:05:27.063,0.109,0.109,0.109,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,80,80,,-2,0,0,0.0,0.0,0.0,0,0,0,0.0,3.0,-999.0,64,67,10,0,-11.54,151
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_2,192.168.0.101,B10,2,wind_tunnel_position_2,6,1,0,wind_tunnel_takeoff,2026-09-04T23:05:27.063,0.109,0.109,0.109,-1,-100,-100,-100,,,,0,75,80,6,0,0,,,,,,,81,81,,9,0,0,0.0,0.0,0.0,0,0,0,4.0,3.0,-1001.0,64,67,6553,0,-10.48,147
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_3,192.168.0.102,B13,3,wind_tunnel_position_3,7,2,0,wind_tunnel_takeoff,2026-09-04T23:05:27.063,0.109,0.109,0.109,-1,-100,-100,-100,,,,0,150,80,7,0,0,,,,,,,73,73,,0,0,0,0.0,0.0,0.0,0,0,0,9.0,-2.0,-1001.0,66,69,10,0,-10.61,158
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_4,192.168.0.103,B14,4,wind_tunnel_position_4,8,3,0,wind_tunnel_takeoff,2026-09-04T23:05:27.063,0.109,0.109,0.109,-1,-100,-100,-100,,,,0,225,80,8,0,0,,,,,,,72,72,,-1,0,1,0.0,0.0,0.0,0,0,0,13.0,-27.0,-997.0,62,64,10,0,-10.09,168
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_5,192.168.0.104,B12,5,wind_tunnel_position_5,1,4,0,wind_tunnel_takeoff,2026-09-04T23:05:27.063,0.109,0.109,0.109,-1,-100,-100,-100,,,,0,300,80,1,0,0,,,,,,,69,69,,16,0,0,0.0,0.0,0.0,0,0,0,8.0,-11.0,-998.0,62,65,10,0,-11.38,74
20260904_230524,wind_tunnel_front_75_side_no_wind_001,front,side wind,no wind,75,wind_tunnel,20,0,drone_1,192.168.0.100,B11,1,wind_tunnel_position_1,5,0,0,wind_tunnel_takeoff,2026-09-04T23:05:27.169,0.215,0.215,0.215,-1,-100,-100,-100,,,,0,0,80,5,0,0,,,,,,,80,80,,-2,0,0,0.0,0.0,0.0,0,0,0,0.0,-1.0,-1001.0,64,67,10,0,-11.54,151
