run_id,experiment_id,formation,wind_direction,wind_speed,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_1,192.168.0.101,B11,1,diamond_1,2,7,node_segment_1_of_5,2026-05-19T20:00:57.235,16.973,0.322,57,57,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,7,node_segment_1_of_5,2026-05-19T20:00:57.235,16.973,0.322,58,58,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,3,8,node_segment_1_of_5,2026-05-19T20:00:57.235,16.973,0.322,69,69,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_4,192.168.0.106,B14,4,diamond_4,4,1,node_segment_1_of_5,2026-05-19T20:00:57.235,16.973,0.322,49,49,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,1,node_segment_1_of_5,2026-05-19T20:00:57.235,16.973,0.322,60,60,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_1,192.168.0.101,B11,1,diamond_1,2,7,node_segment_1_of_5,2026-05-19T20:00:57.343,17.08,0.43,57,57,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,7,node_segment_1_of_5,2026-05-19T20:00:57.343,17.08,0.43,58,58,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,3,8,node_segment_1_of_5,2026-05-19T20:00:57.343,17.08,0.43,69,69,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_4,192.168.0.106,B14,4,diamond_4,4,1,node_segment_1_of_5,2026-05-19T20:00:57.343,17.08,0.43,49,49,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,1,node_segment_1_of_5,2026-05-19T20:00:57.343,17.08,0.43,60,60,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_1,192.168.0.101,B11,1,diamond_1,2,7,node_segment_1_of_5,2026-05-19T20:00:57.449,17.187,0.536,57,57,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_2,192.168.0.109,B10,2,diamond_2,2,7,node_segment_1_of_5,2026-05-19T20:00:57.449,17.187,0.536,58,58,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_3,192.168.0.103,B13,3,diamond_3,3,8,node_segment_1_of_5,2026-05-19T20:00:57.449,17.187,0.536,69,69,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_4,192.168.0.106,B14,4,diamond_4,4,1,node_segment_1_of_5,2026-05-19T20:00:57.449,17.187,0.536,49,49,0
20260519_200040,diamond_50_head_lv1_new_prepare,diamond,head wind,Level1,drone_5,192.168.0.107,B15,5,diamond_5,4,1,node_segment_1_of_5,2026-05-19T20:00:57.449,17.187,0.536,60,60,0
