run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-23T18:13:07.018,23.671,0.0,72,72,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-23T18:13:07.018,23.671,0.0,73,73,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-23T18:13:07.018,23.671,0.0,76,76,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-23T18:13:07.018,23.671,0.0,71,71,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-23T18:13:07.018,23.671,0.0,77,77,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-23T18:13:07.130,23.784,0.113,72,72,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_2,192.168.0.109,B10,2,echalon_2,2,7,node_segment_1_of_5,2026-06-23T18:13:07.130,23.784,0.113,73,73,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_3,192.168.0.103,B13,3,echalon_3,3,8,node_segment_1_of_5,2026-06-23T18:13:07.130,23.784,0.113,76,76,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_4,192.168.0.106,B14,4,echalon_4,4,1,node_segment_1_of_5,2026-06-23T18:13:07.130,23.784,0.113,71,71,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_5,192.168.0.107,B12,5,echalon_5,5,2,node_segment_1_of_5,2026-06-23T18:13:07.130,23.784,0.113,77,77,0
20260623_181243,echalon_50_side_no_wind_new_pre,echalon,side wind,no wind,50,drone_1,192.168.0.102,B11,1,echalon_1,1,6,node_segment_1_of_5,2026-06-23T18:13:07.237,23.891,0.22,72,72,0
