run_id,experiment_id,formation,wind_direction,wind_speed,inter_drone_distance_cm,drone_name,drone_ip,battery_id,takeoff_order,drone_role,mission_pad,target_pad,phase,timestamp,elapsed_time,node_elapsed_time,battery,battery_start,battery_drop_from_start
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_1,192.168.0.102,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-24T20:05:48.775,35.069,0.0,67,67,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_2,192.168.0.109,B10,2,vee_2,6,3,node_segment_1_of_5,2026-06-24T20:05:48.775,35.069,0.0,67,67,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-06-24T20:05:48.775,35.069,0.0,51,51,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_4,192.168.0.106,B14,4,vee_4,8,5,node_segment_1_of_5,2026-06-24T20:05:48.775,35.069,0.0,55,55,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,2,node_segment_1_of_5,2026-06-24T20:05:48.775,35.069,0.0,43,43,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_1,192.168.0.102,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-24T20:05:48.883,35.177,0.108,67,67,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_2,192.168.0.109,B10,2,vee_2,6,3,node_segment_1_of_5,2026-06-24T20:05:48.883,35.177,0.108,67,67,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_3,192.168.0.103,B13,3,vee_3,3,8,node_segment_1_of_5,2026-06-24T20:05:48.883,35.177,0.108,51,51,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_4,192.168.0.106,B14,4,vee_4,8,5,node_segment_1_of_5,2026-06-24T20:05:48.883,35.177,0.108,55,55,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_5,192.168.0.107,B12,5,vee_5,5,2,node_segment_1_of_5,2026-06-24T20:05:48.883,35.177,0.108,43,43,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_1,192.168.0.102,B11,1,vee_1,1,6,node_segment_1_of_5,2026-06-24T20:05:48.987,35.281,0.212,67,67,0
20260624_200513,vee_50_side_lv1_new_pre,vee,side wind,Level1,50,drone_2,192.168.0.109,B10,2,vee_2,6,3,node_segment_1_of_5,2026-06-24T20:05:48.987,35.281,0.212,67,67,0
